1.024	23.750,800	0,000	0,000	91.694.544,371	0,000
2.048	48.942,200	0,000	0,000	85.021.679,267	0,000
4.096	103.511,400	0,000	0,000	83.257.471,990	0,000
8.192	222.290,400	0,000	0,000	77.513.658,191	0,000
16.384	480.414,700	0,000	0,000	72.308.162,980	0,000
32.768	1.043.384,000	0,000	0,000	66.092.194,751	0,000
65.536	2.311.875,900	0,000	0,000	59.740.928,780	0,001
131.072	5.069.226,700	0,000	0,000	54.909.264,564	0,002
262.144	11.007.410,100	0,000	0,000	50.513.648,465	0,005
524.288	24.835.739,400	0,000	0,000	45.497.422,367	0,012
1.048.576	61.215.737,500	0,000	0,000	37.125.977,676	0,028
2.097.152	163.747.424,300	0,000	0,000	27.701.749,930	0,076
4.194.304	410.489.187,400	0,000	0,000	22.235.920,891	0,189
8.388.608	1.038.659.033,500	0,000	0,000	17.592.277,662	0,477
16.777.216	2.446.741.029,900	0,000	0,000	14.923.353,364	1,124
33.554.432	5.182.408.676,300	0,000	0,000	14.122.741,941	2,376
67.108.864	10.496.207.677,800	0,000	0,000	13.934.143,507	4,816
134.217.728	21.262.655.540,300	0,000	0,000	13.762.911,635	9,752
268.435.456	43.108.838.841,000	0,000	0,000	13.568.410,524	19,784
536.870.912	83.799.176.665,364	0,000	0,000	13.341.656,788	38,444
1.073.741.824	177.514.367.393,100	0,000	0,000	13.188.529,833	81,415
